OrderID,OrderDate,CustomerID,Region,ProductName,Category,Quantity,UnitPrice,TotalAmount,Status,SalesPerson
1001,2025-01-03,C001,East,Smartphone X,Electronics,2,35000,70000,Completed,Arjun Patel
1002,2025-01-05,C003,West,LED TV 42,Electronics,1,42000,42000,Completed,Riya Sharma
1003,2025-01-05,C004,North,Coffee Maker,Home Appliances,3,2500,7500,Returned,Vivek Rao
1004,2025-01-06,C006,South,Running Shoes,Sports,2,1800,3600,Completed,Megha Nair
1005,2025-01-07,C002,East,Laptop Pro 15,Electronics,1,82000,82000,Cancelled,Arjun Patel
1006,2025-01-09,C008,West,Blender Mixer,Home Appliances,2,3200,6400,Completed,Riya Sharma
1007,2025-01-10,C009,North,Office Chair,Furniture,1,6500,6500,Completed,Vivek Rao
1008,2025-01-12,C010,South,Bluetooth Speaker,Electronics,4,1500,6000,Returned,Megha Nair
1009,2025-02-01,C001,East,Shampoo Pack,Personal Care,6,250,1500,Completed,Arjun Patel
1010,2025-02-04,C012,West,Microwave Oven,Home Appliances,1,7800,7800,Completed,Riya Sharma
1011,2025-02-05,C015,North,Notebook Set,Stationery,10,50,500,Completed,Vivek Rao
1012,2025-02-06,C004,South,Treadmill,Sports,1,35000,35000,Returned,Megha Nair
1013,2025-02-07,C014,East,Water Purifier,Home Appliances,1,12000,12000,Completed,Arjun Patel
1014,2025-02-10,C018,West,Wireless Mouse,Electronics,3,600,1800,Completed,Riya Sharma
1015,2025-02-12,C020,North,Desk Lamp,Furniture,2,900,1800,Cancelled,Vivek Rao
1016,2025-03-01,C007,South,Sports Watch,Sports,1,5200,5200,Completed,Megha Nair
1017,2025-03-03,C009,East,Hair Dryer,Personal Care,2,1500,3000,Completed,Arjun Patel
1018,2025-03-06,C011,West,Air Fryer,Home Appliances,1,9800,9800,Cancelled,Riya Sharma
1019,2025-03-09,C003,North,Study Table,Furniture,1,4500,4500,Completed,Vivek Rao
1020,2025-03-10,C002,South,Earbuds Pro,Electronics,2,2800,5600,Completed,Megha Nair
1021,2025-03-15,C001,East,Keyboard,Electronics,1,1200,1200,Completed,Arjun Patel
1022,2025-03-17,C004,North,Toaster,Home Appliances,1,1800,1800,Returned,Vivek Rao
1023,2025-03-20,C004,North,Toaster,Home Appliances,1,1800,1800,Returned,Vivek Rao
1024,2025-03-23,C004,North,Toaster,Home Appliances,1,1800,1800,Returned,Vivek Rao
1025,2025-04-01,C006,South,Fitness Band,Sports,1,2400,2400,Completed,Megha Nair
1026,2025-04-04,C018,West,LED Bulb Pack,Electronics,4,200,800,Completed,Riya Sharma
1027,2025-04-05,C020,North,Study Table,Furniture,1,4500,4500,Completed,Vivek Rao
1028,2025-04-06,C010,East,Laptop Bag,Accessories,1,900,900,Completed,Arjun Patel
1029,2025-04-10,C015,South,Badminton Racket,Sports,1,2200,2200,Cancelled,Megha Nair
1030,2025-04-12,C009,West,Vacuum Cleaner,Home Appliances,1,6500,6500,Completed,Riya Sharma
